Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
4371,192,4,75.45,2,3,3,233,8,REGULARS
3132,123,4,75.4,3,3,3,333,9,REGULARS
4838,333,3,75.3,1,2,3,123,6,LOST
1171,239,5,75.3,2,4,3,243,9,LOYAL
2026,411,2,75.2,1,1,3,113,5,LOST
3999,44,5,75.2,4,4,3,443,11,LOYAL
2766,133,3,75.2,3,2,3,323,8,REGULARS
1014,88,4,75.1,3,3,3,333,9,REGULARS
2610,70,3,75.04,3,2,3,323,8,REGULARS
3839,473,3,75.0,1,2,3,123,6,LOST
3033,461,3,75.0,1,2,3,123,6,LOST
1354,29,5,74.95,4,4,3,443,11,LOYAL
2448,1,6,74.9,4,4,3,443,11,LOYAL
3035,31,6,74.9,4,4,3,443,11,LOYAL
3027,106,4,74.9,3,3,3,333,9,REGULARS
3439,127,5,74.9,3,4,3,343,10,LOYAL
2243,106,4,74.9,3,3,3,333,9,REGULARS
4910,35,3,74.9,4,2,3,423,9,ACTIVE
2561,133,4,74.85,3,3,3,333,9,REGULARS
3127,392,4,74.8,1,3,3,133,7,LOST
2481,36,2,74.76,4,1,3,413,8,ACTIVE
4195,90,3,74.76,3,2,3,323,8,REGULARS
2188,32,4,74.75,4,3,2,432,9,ACTIVE
3570,119,4,74.7,3,3,2,332,8,REGULARS
1911,211,2,74.66,2,1,2,212,5,REGULARS
1113,147,4,74.65,2,3,2,232,7,REGULARS
2544,335,4,74.6,1,3,2,132,6,LOST
3905,194,7,74.59,2,4,2,242,8,LOYAL
2312,229,4,74.5,2,3,2,232,7,REGULARS
4728,115,4,74.49,3,3,2,332,8,REGULARS
1900,97,4,74.44,3,3,2,332,8,REGULARS
1234,40,4,74.44,4,3,2,432,9,ACTIVE
3486,7,5,74.4,4,4,2,442,10,LOYAL
2695,179,3,74.3,2,2,2,222,6,REGULARS
2211,31,4,74.3,4,3,2,432,9,ACTIVE
2575,292,2,74.2,1,1,2,112,4,LOST
2207,266,4,74.2,2,3,2,232,7,REGULARS
2940,53,4,74.2,4,3,2,432,9,ACTIVE
4908,224,3,74.19,2,2,2,222,6,REGULARS
1544,308,4,74.16,1,3,2,132,6,LOST
1426,175,5,74.04,2,4,2,242,8,LOYAL
2795,238,5,74.0,2,4,2,242,8,LOYAL
3339,22,3,74.0,4,2,2,422,8,ACTIVE
4762,61,6,73.98,3,4,2,342,9,LOYAL
3665,98,2,73.96,3,1,2,312,6,REGULARS
2441,180,6,73.92,2,4,2,242,8,LOYAL
3254,72,4,73.92,3,3,2,332,8,REGULARS
4558,269,3,73.9,2,2,2,222,6,REGULARS
4813,148,3,73.9,2,2,2,222,6,REGULARS
4706,37,3,73.9,4,2,2,422,8,ACTIVE
1020,78,3,73.84,3,2,2,322,7,REGULARS
4025,56,4,73.82,4,3,2,432,9,ACTIVE
1102,186,4,73.7,2,3,2,232,7,REGULARS
2969,22,4,73.7,4,3,2,432,9,ACTIVE
3587,147,5,73.62,2,4,2,242,8,LOYAL
1123,48,4,73.6,4,3,2,432,9,ACTIVE
2181,190,3,73.6,2,2,2,222,6,REGULARS
3645,18,4,73.5,4,3,2,432,9,ACTIVE
1019,385,1,73.5,1,1,2,112,4,LOST
3034,222,5,73.5,2,4,2,242,8,LOYAL
1670,38,3,73.5,4,2,2,422,8,ACTIVE
2250,76,2,73.4,3,1,2,312,6,REGULARS
3320,627,3,73.4,1,2,2,122,5,LOST
2025,412,3,73.4,1,2,2,122,5,LOST
2360,315,3,73.3,1,2,2,122,5,LOST
2553,163,6,73.23,2,4,2,242,8,LOYAL
4501,198,5,73.22,2,4,2,242,8,LOYAL
2072,32,5,73.2,4,4,2,442,10,LOYAL
2048,14,6,73.2,4,4,2,442,10,LOYAL
1194,231,3,73.2,2,2,2,222,6,REGULARS
4733,296,4,73.14,1,3,2,132,6,LOST
4648,83,4,73.1,3,3,2,332,8,REGULARS
4432,96,5,73.1,3,4,2,342,9,LOYAL
3644,89,3,73.0,3,2,2,322,7,REGULARS
1467,132,2,73.0,3,1,2,312,6,REGULARS
2703,100,4,73.0,3,3,2,332,8,REGULARS
1924,43,6,72.99,4,4,2,442,10,LOYAL
1622,294,4,72.96,1,3,2,132,6,LOST
2705,44,3,72.94,4,2,2,422,8,ACTIVE
2146,193,3,72.9,2,2,2,222,6,REGULARS
4977,132,2,72.85,3,1,2,312,6,REGULARS
4357,81,3,72.8,3,2,2,322,7,REGULARS
1139,345,4,72.8,1,3,2,132,6,LOST
4431,44,5,72.8,4,4,2,442,10,LOYAL
2900,263,4,72.72,2,3,2,232,7,REGULARS
4405,161,2,72.7,2,1,2,212,5,REGULARS
2559,429,3,72.7,1,2,2,122,5,LOST
1756,98,4,72.6,3,3,2,332,8,REGULARS
4474,20,4,72.5,4,3,2,432,9,ACTIVE
3058,156,3,72.4,2,2,2,222,6,REGULARS
4416,7,7,72.3,4,4,2,442,10,LOYAL
4725,28,4,72.22,4,3,2,432,9,ACTIVE
4616,136,6,72.2,3,4,2,342,9,LOYAL
3647,302,2,72.2,1,1,2,112,4,LOST
3400,301,3,72.2,1,2,2,122,5,LOST
1834,38,3,72.16,4,2,2,422,8,ACTIVE
3928,95,3,72.12,3,2,2,322,7,REGULARS
4114,145,4,72.1,2,3,2,232,7,REGULARS
3736,33,4,72.1,4,3,2,432,9,ACTIVE
2105,343,2,72.06,1,1,2,112,4,LOST
4478,26,3,72.05,4,2,2,422,8,ACTIVE
1938,236,4,72.0,2,3,2,232,7,REGULARS
2616,228,4,72.0,2,3,2,232,7,REGULARS
3066,24,6,72.0,4,4,2,442,10,LOYAL
2681,242,3,72.0,2,2,2,222,6,REGULARS
1074,75,5,71.96,3,4,2,342,9,LOYAL
1693,3,4,71.9,4,3,2,432,9,ACTIVE
2661,243,4,71.9,2,3,2,232,7,REGULARS
2829,11,3,71.9,4,2,2,422,8,ACTIVE
4878,100,3,71.8,3,2,2,322,7,REGULARS
3309,63,7,71.67,3,4,2,342,9,LOYAL
1599,78,5,71.64,3,4,2,342,9,LOYAL
2804,346,4,71.6,1,3,2,132,6,LOST
4865,408,2,71.5,1,1,2,112,4,LOST
2977,44,4,71.5,4,3,2,432,9,ACTIVE
2366,134,4,71.5,3,3,2,332,8,REGULARS
1702,350,5,71.5,1,4,2,142,7,LOYAL
3271,3,3,71.4,4,2,2,422,8,ACTIVE
1015,240,3,71.4,2,2,2,222,6,REGULARS
3762,132,5,71.4,3,4,2,342,9,LOYAL
4529,220,4,71.36,2,3,2,232,7,REGULARS
3384,31,5,71.35,4,4,2,442,10,LOYAL
4650,381,5,71.32,1,4,2,142,7,LOYAL
4246,29,3,71.3,4,2,2,422,8,ACTIVE
2786,280,3,71.3,2,2,2,222,6,REGULARS
4896,67,3,71.3,3,2,2,322,7,REGULARS
3730,156,4,71.25,2,3,2,232,7,REGULARS
2830,191,4,71.2,2,3,2,232,7,REGULARS
3678,541,3,71.2,1,2,2,122,5,LOST
1478,321,4,71.2,1,3,2,132,6,LOST
3255,55,6,71.1,4,4,2,442,10,LOYAL
1773,59,4,71.1,3,3,2,332,8,REGULARS
4819,90,5,71.05,3,4,2,342,9,LOYAL
2542,36,3,71.0,4,2,2,422,8,ACTIVE
3428,289,3,71.0,1,2,2,122,5,LOST
4609,53,2,71.0,4,1,2,412,7,ACTIVE
2980,247,3,70.96,2,2,2,222,6,REGULARS
3575,236,5,70.96,2,4,2,242,8,LOYAL
1367,147,2,70.9,2,1,2,212,5,REGULARS
3017,93,3,70.8,3,2,2,322,7,REGULARS
1962,205,3,70.8,2,2,2,222,6,REGULARS
3764,50,6,70.8,4,4,2,442,10,LOYAL
3213,376,3,70.79,1,2,2,122,5,LOST
1516,336,2,70.72,1,1,2,112,4,LOST
2782,204,3,70.7,2,2,2,222,6,REGULARS
4511,184,3,70.7,2,2,2,222,6,REGULARS
2460,12,4,70.7,4,3,2,432,9,ACTIVE
